18

3 3
438 265 -249
161 624 -482
351 326 324
169 492 -433
292 835 116
763 585 -453
734 127 346
756 665 -618
247 747 202
519 243 701
136 203 140
760 306 -347
439 825 -644
283 149 -475
118 69 -831
55 185 -716
183 84 -982
200 783 -226
947 165 -627
542 719 892
745 772 380
52 264 141
229 918 -420
730 626 863
151 504 -667
336 673 389
773 958 924
908 976 -876
73 103 423
144 476 -35
916 721 63
181 101 -533
451 594 -952
429 526 130
933 741 -718
607 75 -30
917 816 743
893 740 -349
996 216 -924
825 639 572
898 956 -159
351 371 374
946 838 825
472 238 254
214 369 -460
641 651 499
457 621 -584
549 717 661
765 720 -990
756 797 -813
64 369 -915
436 562 436
274 936 734
865 761 207
234 368 -227
237 260 -586
858 759 871
927 527 420
648 188 537
445 198 293
166 385 -643
729 822 793
17 259 -580
131 345 -363
851 552 -129
111 325 -892
222 91 318
749 962 -754
289 734 -754
840 271 43
577 916 -791
400 274 290
11 419 660
356 191 -209
261 828 -358
586 51 753
678 511 975
992 830 -924
79 428 365
350 674 -795
267 717 -217
893 278 183
664 921 546
208 581 -98
388 724 163
440 366 102
951 471 132
133 446 124
913 874 203
587 239 -94
656 445 525
287 228 770
560 763 786
141 309 994
865 563 735
583 727 175
54 181 478
852 313 964
726 789 -123
965 345 -183
410 251 -527
990 128 112
105 898 672
766 684 -835
330 31 382
409 766 965
590 293 -981
903 771 871
692 87 597
37 965 -437
640 782 325
120 607 -332
18 720 -875
55 744 -108
438 910 -778
204 292 631
497 610 -779
620 629 476
708 853 -480
25 450 -90
807 365 550
766 43 23
838 63 -959
583 188 448
845 80 -114
137 654 -558
99 637 291
729 858 264
934 686 -676
736 207 349
102 117 508
497 19 274
560 42 -887
748 436 -952
181 884 -107
835 123 -618
473 565 -518
683 857 563
722 121 497
929 445 -767
398 146 -313
417 654 -816
812 280 -904
248 745 -803
484 793 378
607 686 -435
525 421 390
734 903 -574
855 466 148
652 963 -571
798 548 -173
804 236 -404
84 420 -592
830 517 8
975 66 845
14 444 804
435 361 329
690 752 -937
508 530 270
823 678 274
371 107 424
607 286 228
380 882 -335
249 643 847
315 3 -178
111 848 188
472 5 -25
576 334 -335
106 750 -827
136 372 -4
243 647 368
529 423 -673
764 652 707
759 669 956
762 516 271
963 690 734
968 879 207
654 854 -865
756 872 -406
481 45 730
128 394 -674
903 762 207
555 89 -29
224 149 82
92 105 845
135 729 -840
366 463 480
572 22 486
444 510 -757
842 104 -924
236 834 556
350 160 -541
791 368 -985
940 691 591
398 774 36
127 971 171
942 483 537
317 963 109
827 449 -446
931 44 -252
117 120 984
630 676 -666
998 136 -875
41 503 418
167 446 816
138 482 -57
621 5 237
936 542 554
738 4 -619
134 558 -336
607 658 782
635 642 -588
771 328 762
626 453 -197
73 223 -29
907 39 -539
913 334 435
807 572 723
811 126 -539
721 860 -52
379 524 -445
21 658 190
349 70 314
155 832 -60
378 988 -635
770 311 -375
104 772 -462
28 559 -303
507 283 509
367 96 -418
243 44 962
902 599 -665
972 790 -963
157 104 192
497 396 922
808 114 -956
932 739 -851
492 629 -823
127 326 684
223 187 403
620 770 647
219 732 -99
361 67 225
817 456 -266
214 648 -769
328 923 39
419 967 972
48 468 -184
726 998 295
914 34 870
36 438 490
768 437 -290
187 690 423
644 915 -759
644 650 -193
919 881 487
239 273 -94
59 597 -694
57 765 -968
444 60 -702
882 930 334
671 421 454
361 483 -6
628 906 638
278 499 634
512 306 -446
785 145 145
734 51 204
499 709 614
559 94 -942
841 392 -708
262 79 -685
97 885 -324
356 879 656
855 869 287
514 504 799
659 410 -64
63 907 22
124 111 -479
218 77 80
963 135 273
394 427 536
279 742 985
159 770 341
28 427 -451
884 66 -585
646 217 -574
553 505 841
17 527 -34
94 48 -816
230 480 -501
9 753 -107
752 641 173
874 979 -316
653 320 64
719 221 -699
936 988 -53
793 415 -147
320 256 -130
368 222 -36
200 759 546
306 610 -444
947 504 -340
926 29 -114
599 65 -460
172 129 259
161 430 548
576 730 -659
184 583 14
407 453 382
518 769 935
128 668 241
984 576 188
13 588 -533
78 474 -582
560 14 590
990 626 -249
720 174 -321
655 867 -136
460 881 -377
230 616 -859
250 903 -379
826 144 -394
766 684 971
240 503 50
255 921 610
233 512 952
759 615 25
626 295 680
860 511 493
828 134 -277
731 627 -675
875 600 -497
911 206 -731
415 178 -491
336 580 -884
200 542 -651
816 494 108
463 871 87
326 904 299
812 397 127
439 472 -142
391 797 -915
598 652 996
128 921 411
708 782 100
602 251 -700
448 952 -532
320 413 -717
576 500 -391
973 799 -227
797 278 -788
946 136 -44
598 573 -446
871 569 -966
5 333 -906
256 433 -304
561 733 -856
974 554 816
474 837 744
625 799 69
903 572 -134
391 137 812
964 93 -238
885 999 985
218 33 991
651 127 599
737 175 160
643 671 -514
480 488 -688
631 232 937
556 302 192
693 520 -65
138 685 251
137 799 -863
522 785 707
1 128 -289
176 79 448
847 592 443
687 78 923
920 391 -93
574 680 -537
446 225 508
131 160 -354
931 764 135
68 253 9
196 960 -990
275 671 186
867 471 33
946 914 721
689 190 -7
369 449 919
946 912 365
107 772 849
223 770 780
476 905 848
788 914 -604
812 276 23
635 462 -109
550 847 189
92 920 -770
893 913 599
157 184 546
929 550 5
699 399 580
956 531 56
870 731 844
498 127 8
960 150 644
807 393 546
728 934 -362
993 164 -117
178 116 -960
80 14 969
479 371 668
362 951 -376
93 359 846
572 555 344
722 564 -344
468 208 -185
402 754 895
919 744 -111
35 627 -581
49 667 499
772 988 -670
723 656 -308
434 632 137
989 830 709
553 526 783
113 182 -749
219 349 -346
963 245 925
942 134 -40
961 905 -639
949 404 133
957 734 208
941 778 642
123 915 -17
649 624 889
183 407 -998
533 11 222
778 17 -463
264 942 -168
169 902 793
925 615 -905
659 748 404
789 308 -654
704 950 469
680 933 -529
439 822 654
450 177 -461
819 751 -331
761 640 -67
15 472 -546
630 618 -621
730 65 390
38 469 -821
340 815 -765
626 637 267
800 108 -293
329 114 509
80 6 -671
73 675 442
545 961 458
515 767 440
580 147 -477
50 889 561
217 421 254
854 656 -768
314 924 -968
781 983 714
787 492 794
814 173 867
127 616 -235
895 426 -720
394 866 213
283 389 -737
56 303 -520
65 909 687
989 141 -647
324 525 -514
168 239 -375
342 386 792
958 605 -81
736 370 -186
602 3 -440
344 216 196
999 831 252
908 311 317
401 350 -342
926 56 982
166 894 151
552 872 -507
157 664 803
880 583 -109
883 750 -155
451 310 -811
282 506 540
945 111 448
648 428 -151
56 87 -872
950 421 -706
822 572 -802
486 417 707
422 572 939
172 463 -178
834 661 -375
693 850 -93
804 391 205
232 191 -147
671 393 -91
93 521 -789
17 815 34
787 365 872
711 72 294
527 12 -182
188 186 -347
390 164 -654
133 71 502
325 276 86
718 481 758
239 742 -797
406 954 572
771 988 -641
195 212 423
559 859 -50
98 677 -510
262 682 880
685 380 14
314 882 691
147 969 -239
890 79 -1000
844 634 -242
184 206 -119
396 918 -572
607 341 340
285 643 -210
319 133 404
52 365 -911
934 379 -245
255 422 903
686 183 145
320 183 989
527 293 -475
445 174 -727
138 955 -119
781 295 518
266 85 -163
631 489 889
11 930 -824
433 38 -217
969 941 470
504 438 -210
798 427 -683
324 304 114
279 577 -748
574 458 385
11 976 -349
500 166 -717
783 407 646
821 583 -569
114 367 400
552 837 -95
331 627 -945
635 297 379
212 411 659
23 664 -415
351 401 -51
869 53 449
277 336 584
860 334 405
579 765 519
768 518 71
748 423 -598
45 478 -611
456 209 -46
472 220 -23
874 158 -320
279 107 -450
967 908 -173
301 493 -961
66 898 -29
584 418 -261
359 841 -513
189 596 -116
399 985 -307
971 939 -835
129 268 391
236 949 22
145 851 -11
990 678 290
888 69 -291
658 40 -355
852 132 -643
448 971 546
785 856 -703
77 549 -379
345 66 -250
646 810 -661
497 832 -516
527 822 826
949 464 -286
989 173 725
121 819 577
445 176 377
301 74 514
202 724 -409
268 345 -711
78 95 287
263 434 -863
85 270 664
549 448 -387
75 163 955
246 240 -572
774 169 -127
848 898 -826
924 412 728
269 4 -3
717 293 -573
151 932 -310
774 69 127
222 734 29
737 699 456
329 654 -298
498 435 476
396 308 676
809 835 601
165 563 870
810 912 587
742 340 91
812 382 217
546 862 791
597 243 529
604 699 -142
39 753 709
699 581 457
886 257 266
802 858 -217
714 81 593
406 20 336
141 463 -852
3 680 -954
598 472 995
649 353 599
402 563 990
983 624 690
240 82 928
451 700 730
884 484 -555
256 77 -149
720 765 -656
400 913 347
224 311 -703
929 307 946
493 906 700
117 249 -317
199 291 276
900 219 79
736 950 963
813 747 -781
931 950 291
844 295 692
508 994 -732
815 292 -802
73 238 -309
322 291 -840
965 974 712
185 602 -388
135 681 -300
234 996 -135
184 568 -204
479 859 -7

1000 1000
474 903 501
766 172 -684
356 370 741
647 413 416
974 925 381
576 637 566
258 249 -947
606 301 287
174 167 -528
34 963 -697
289 956 777
461 457 895
183 125 -748
948 219 251
874 635 225
511 368 -846
113 287 -236
414 692 370
581 980 -455
897 804 931
853 459 220
663 237 34
140 132 569
359 736 518
346 340 392
715 565 255
2 71 368
694 835 135
26 206 68
182 103 965
642 386 171
879 958 834
363 992 326
100 562 -314
440 432 -968
357 824 -253
429 431 -251
616 800 -204
822 935 822
277 3 5
663 321 -353
622 492 -122
966 678 241
528 4 -307
312 690 -515
488 75 -805
920 174 976
720 276 -408
7 72 767
362 894 -956
35 251 708
527 898 -670
557 128 296
562 722 -823
604 415 -511
679 253 978
206 800 -750
482 776 -678
554 720 681
800 487 43
52 532 431
302 592 -42
431 274 -484
153 922 430
920 99 -966
525 941 66
325 271 272
453 521 -894
174 843 660
661 524 -188
545 919 864
137 350 -833
411 661 -50
334 529 455
785 959 -625
78 345 253
349 411 578
222 35 -616
417 141 558
941 153 571
213 966 -883
915 830 254
576 349 -982
105 299 352
416 754 -863
762 482 216
525 735 -83
561 665 140
54 49 -443
208 607 -149
526 531 416
708 648 331
58 254 -740
709 272 -283
816 624 -866
298 114 248
385 682 -227
402 951 -314
452 443 -259
411 1 301
942 204 -173
942 620 535
197 303 945
469 563 -345
446 281 471
912 415 121
946 663 -142
897 436 -740
341 123 -936
694 216 828
250 869 122
222 696 -935
525 583 -386
89 529 -565
370 536 233
785 7 145
800 480 -557
588 338 341
63 950 -966
279 367 80
148 195 682
196 669 -96
780 86 -571
661 700 -482
197 136 888
556 721 25
36 867 -175
726 310 -586
28 3 -523
395 389 -891
942 821 -391
612 503 -194
698 407 -62
751 837 -401
239 707 -204
960 596 352
179 973 740
842 799 -534
197 565 -154
587 394 -758
760 503 536
264 465 148
23 271 -801
212 209 302
920 808 -107
868 956 853
841 308 -615
992 48 -773
909 866 424
304 712 -637
159 306 -524
624 843 -260
247 343 115
456 894 328
616 196 -400
572 89 -180
232 295 -339
632 680 -994
498 907 -85
563 683 -429
869 47 -269
712 875 -293
56 967 -45
950 82 -237
499 762 -268
940 714 304
235 534 -111
915 196 -479
174 554 372
210 469 935
609 393 -196
484 124 517
451 183 925
533 490 -773
648 254 726
362 338 667
897 642 902
445 883 170
999 405 696
820 777 -94
213 712 515
689 868 -649
225 385 802
715 662 336
321 890 336
659 616 698
654 635 947
537 538 -256
294 60 743
423 108 -84
487 15 -519
356 882 523
93 234 -252
756 36 463
646 724 137
614 412 796
250 463 450
140 410 340
552 155 634
660 250 -942
27 518 -103
910 0 -747
496 875 -653
884 623 455
961 438 453
373 575 -933
836 724 669
599 174 809
754 866 -287
356 501 374
875 911 401
227 808 -337
102 414 511
77 113 396
515 568 -291
443 373 -566
167 792 -729
693 462 222
560 623 328
61 337 -316
324 63 -89
484 464 -862
250 480 -408
363 991 -331
283 739 -463
656 448 332
801 883 -501
263 506 -808
238 728 -896
927 56 517
990 740 -159
807 4 678
287 142 928
278 87 -708
18 108 -73
818 645 -64
701 977 -263
207 828 -648
287 373 590
343 477 518
436 995 508
440 836 315
934 514 954
21 795 -767
482 439 -397
127 366 421
457 302 475
285 391 -318
658 743 -30
488 686 665
483 204 101
319 64 -107
186 732 -172
333 686 -799
772 271 683
138 226 -837
793 0 -28
536 475 -391
280 509 620
966 479 -892
522 497 591
938 950 262
670 844 -200
709 24 -867
980 577 905
559 261 396
559 776 541
34 748 77
543 709 -643
375 329 675
872 437 -803
174 28 -864
18 291 158
42 91 -133
620 225 -800
233 482 759
361 878 670
461 419 -296
170 497 -401
500 206 974
937 882 198
318 431 373
609 919 743
52 430 -214
629 297 758
112 849 -657
342 960 56
762 630 -483
611 334 687
169 286 -461
403 260 -171
835 811 -853
106 536 -892
536 279 160
186 417 -858
387 527 -394
348 870 948
978 278 -938
665 795 -975
951 835 -805
563 374 -402
726 555 785
262 702 -756
542 810 -220
959 323 318
487 817 706
709 423 -946
988 371 -616
135 786 401
970 811 352
697 6 268
252 605 994
307 742 257
469 986 -201
144 119 -890
961 437 -51
384 143 -989
108 549 -649
894 286 -514
705 687 -191
64 40 858
669 660 -890
763 654 -231
750 263 239
869 414 383
306 525 345
802 826 -919
703 837 541
989 188 435
677 675 -507
69 836 -443
729 694 -422
383 156 -659
647 926 -909
61 165 312
938 900 -29
765 597 -227
954 679 476
495 220 818
522 8 -505
358 853 564
52 410 -707
208 340 28
486 681 27
651 125 441
904 437 -621
501 408 496
532 533 -197
105 362 -702
465 180 -180
318 27 178
80 591 582
420 236 790
101 616 277
578 644 280
368 437 536
128 816 390
662 665 -78
376 820 -621
556 118 196
583 938 514
526 468 -406
762 50 14
730 840 468
374 469 -602
811 102 -234
980 638 895
997 28 -91
817 303 285
935 34 -159
225 231 -224
693 745 -346
743 692 -584
935 58 -502
757 878 -127
859 277 -964
849 395 -632
230 290 365
533 551 -466
567 836 821
798 29 -954
896 805 91
588 459 -814
646 227 474
877 726 -769
154 951 -558
549 339 643
192 708 -127
743 73 406
580 960 -674
961 781 -876
119 828 372
930 271 960
158 458 959
236 932 188
539 515 342
878 957 -757
586 600 787
12 826 -469
324 232 -537
105 910 -576
285 387 895
557 759 -174
15 72 -664
299 383 -76
814 571 463
771 265 -307
723 508 -368
549 296 -356
134 179 968
44 642 -575
431 418 711
543 314 268
615 492 635
350 828 934
921 752 -252
186 215 -129
46 908 946
342 892 -152
873 536 -18
867 856 378
638 634 -838
304 345 -295
796 965 672
624 952 22
376 238 943
943 338 -519
203 209 -473
96 507 -778
984 355 -553
193 337 315
827 716 953
524 230 -743
841 935 53
793 959 29
31 981 -595
369 276 700
930 757 255
437 636 351
793 210 688
482 658 881
550 325 60
780 278 -416
67 887 -223
26 292 -430
7 321 -47
283 726 -678
392 778 -748
381 33 41
943 737 -166
953 425 317
278 658 -781
908 70 0
795 6 67
87 783 -906
408 353 101
486 306 -263
616 980 481
650 584 -786
739 625 510
516 812 463
526 481 742
596 700 -350
602 700 -202
385 768 237
90 214 -354
748 667 -516
728 756 -899
312 590 103
289 804 194
101 314 710
582 130 236
635 872 184
335 874 786
455 672 -477
669 262 965
689 908 -287
445 744 441
35 197 105
192 300 -606
858 846 -152
988 556 782
860 144 417
87 328 105
111 466 560
373 989 582
633 954 -729
378 667 -284
575 460 104
228 917 296
74 312 154
983 512 -857
127 294 -645
456 712 -558
274 817 906
264 729 279
570 663 913
590 934 -357
50 3 570
968 459 -850
632 755 577
144 261 560
790 756 -961
854 112 847
671 906 122
753 812 -614
416 444 -692
703 709 -102
706 352 -699
165 274 621
272 425 605
533 2 101
290 914 891
754 953 746
12 801 769
825 923 522
269 661 291
978 321 -6
682 220 -948
956 873 569
381 494 193
735 99 -922
649 200 -280
603 91 474
756 189 487
31 959 -336
692 833 -715
13 476 -385
585 470 -351
458 874 605
952 795 -661
403 988 -574
955 67 76
399 139 31
588 614 -861
899 453 170
733 469 214
209 106 -773
32 721 -835
906 370 -377
54 327 928
42 666 683
461 93 -361
953 521 38
919 904 -374
372 43 526
193 213 611
299 427 820
372 6 -796
742 171 -537
69 147 -483
88 75 911
533 110 -275
406 749 678
310 787 -403
353 766 321
566 292 -134
345 255 165
351 427 537
523 632 -369
670 447 -948
97 964 -508
207 227 -975
957 952 -569
96 982 93
862 931 446
506 252 364
761 470 709
189 635 61
173 524 584
620 155 -394
936 560 -945
163 52 614
468 430 923
802 213 -980
734 307 234
338 753 -259
809 118 -146
796 827 395
321 888 -80
828 824 540
388 782 -172
793 189 992
223 804 -188
436 727 -386
743 99 -300
849 334 -609
967 427 -448
146 633 -652
387 29 -979
563 301 -798
346 842 -58
887 670 -265
691 14 958
771 178 747
870 145 -510
556 197 -309
335 588 -342
969 140 157
350 841 -456
651 214 107
845 416 805
868 359 -307
234 94 736
413 405 -141
558 152 730
755 994 -362
696 686 974
188 696 295
29 853 997
244 397 -352
12 857 846
371 662 -934
818 707 300
223 796 -287
727 655 623
721 737 -269
759 376 -221
808 702 967
661 349 349
411 346 -55
268 346 -43
282 192 -319
342 258 -501
138 911 74
145 624 801
883 600 874
611 683 986
313 462 -206
662 429 455
360 130 218
706 75 -514
251 33 -879
509 714 -537
420 565 953
397 639 98
349 792 -667
32 666 944
846 652 -743
627 798 271
758 254 -369
833 472 690
218 311 941
284 784 802
201 599 -777
840 552 -28
984 2 673
651 688 -295
655 632 903
454 242 -118
60 513 -360
884 497 -174
547 187 -604
331 480 681
930 282 -766
834 857 -925
189 829 -589
877 502 -938
861 559 -930
103 814 -124
969 697 -712
466 337 524
5 515 72
837 912 755
119 945 -962
977 179 -776
806 606 413
661 18 -358
572 432 504
387 854 -41
84 730 928
773 370 746
289 895 -897
553 967 -60
498 722 -940
29 760 -963
636 337 -805
6 102 856
438 745 -571
293 601 -832
375 560 252
746 841 25
641 587 -334
960 691 -781
682 631 717
795 43 747
132 80 -265
586 276 -259
683 484 -469
284 265 824
197 433 -800
390 37 -702
977 63 -61
20 81 899
652 301 -67
695 370 -920
128 469 564
756 204 151
592 297 834
858 829 471
643 5 20
33 557 -590
96 855 387
177 146 -240
830 397 -588
201 331 459
670 763 939
227 328 695
524 831 288
353 665 498
711 488 -507
268 508 526
476 918 974
622 658 -496
20 418 334
703 182 -113
466 993 -442
794 285 785
625 980 661
643 620 -633
131 470 -922
992 316 346
262 194 -178
920 169 797
690 25 817
224 711 -480
570 599 986
855 509 -867
187 646 -890
160 307 -895
630 674 237
298 752 581
493 451 -157
662 625 116
39 422 158
750 591 735
701 463 -695
562 802 512
208 935 51
868 397 -789
542 503 -158
647 92 -860
450 673 985
427 868 999
850 984 38
793 143 141
257 230 194
59 887 757
346 399 317
743 450 185
598 14 -920
690 856 727
715 348 -471
584 686 -44
568 685 158
63 724 -48
293 217 561
180 411 -380
931 520 318
734 838 413
748 23 12
956 103 702
656 182 770
342 711 354
28 668 -726
104 826 338
321 130 -17
732 691 516
253 663 -553
443 981 181
466 395 -719
922 407 -763
104 461 894
168 583 588
836 937 -384
14 212 72
145 902 393
836 885 478
500 401 -269
833 201 526
228 734 992
987 16 266
801 605 -277
384 499 -109
674 440 79
886 408 -555
140 481 590
25 874 -221
779 352 -369
332 435 -536
66 961 -955
82 306 -616
40 924 185
539 647 -78
331 890 -404
740 321 -166
221 767 -26
95 709 -649
800 840 -870
235 471 814
549 288 881
207 333 315
131 717 -645
779 255 247
21 177 578
343 125 -682
462 311 -461
523 285 987
364 636 787
187 119 374
475 285 -725
160 166 -518
878 834 966
485 189 -255
14 788 118
139 367 813
802 37 275
87 929 -849
75 916 -485
546 55 -946
832 781 -118
350 409 42
184 891 272
726 857 -243
514 954 -229
881 425 -738
271 238 -936
200 514 503
468 665 -69
875 532 -523
8 586 -339
417 820 12
309 863 548
518 135 -726
825 245 -211
250 368 22
488 983 293
354 399 -155
19 903 665
903 186 540
842 663 -451
662 677 -34
877 41 627
13 589 -502
258 864 -677
978 653 -427
961 27 413
361 321 768
616 518 -861
802 184 395
817 76 237
494 977 251
887 296 -871
477 923 494
341 773 752
346 96 82
373 21 44
46 435 -595
917 555 373
453 694 -825
529 89 -656
859 678 -809
155 930 78
430 411 -445
204 905 248
652 9 946
26 91 672
461 135 -930
368 892 987
62 617 792
504 792 -326
182 137 533
464 680 688
875 758 470
780 666 26
141 266 -321
233 213 705
720 237 518
613 307 886
230 647 300
375 439 -196
864 113 -661
544 646 155
654 686 31
320 157 -837
587 535 -695
152 214 -110
389 271 -390
696 789 -425
343 27 806
135 328 533
248 484 749
247 823 -707
933 979 -53
442 362 -380
978 877 -793
544 534 -641
816 424 100
957 35 796
985 610 492
665 768 627
149 653 227
973 402 474
304 695 -592
666 995 -798
895 967 532
430 526 429
854 237 597
241 337 554
852 133 891
972 977 908
626 604 -942
380 832 383
428 658 -313
423 418 705
742 621 -400
268 505 -618
505 934 237
194 531 -522
679 438 -318
657 681 -993
613 590 633
797 648 -987
456 383 441
874 70 216
847 127 -690
353 79 -422
639 462 435
523 699 629
313 529 661
994 564 -682
936 571 -717
584 556 -919
319 921 537
389 715 763
868 283 -389
948 594 -684
410 524 -693
461 960 -818
342 941 495
906 602 -158
477 272 778
385 556 -285
307 989 34
22 878 776
305 641 -356
251 604 -56
776 272 -294
88 932 519
381 114 862
336 610 120
608 452 -50
516 582 335
505 297 -6
383 684 16
377 460 674
333 456 -75
606 401 -947
538 107 -859
4 627 523
614 841 859
418 961 819
353 911 336
650 247 193
686 241 -71
146 610 -694
603 636 -361
4 913 -403
463 967 -513
90 460 -508
931 983 -542
245 194 229
156 14 -418
755 702 584
349 895 271
959 824 417
947 482 372
860 474 728
827 71 192
288 911 634
623 755 -82
818 213 -837
184 794 -681
886 376 427
133 961 776
310 584 87
792 353 34
618 726 246
42 454 426
953 998 714
708 633 -311
273 903 859
68 66 395
444 737 -719
757 164 -233
693 292 77
47 731 -779
773 765 -160
579 364 882
930 790 -813

1000 1000
563 504 -753
818 545 -480
884 405 -60
973 800 737
490 434 -506
782 553 188
866 630 587
983 203 -640
347 395 -709
137 277 -779
641 816 -864
539 63 -46
296 936 190
448 876 164
882 613 -346
787 460 788
769 0 654
973 587 638
368 299 337
998 590 475
814 164 -532
230 300 7
166 255 303
42 797 -248
656 961 986
468 967 -874
468 108 895
407 114 868
706 104 589
648 442 -413
812 917 753
465 385 -17
72 393 149
869 48 544
831 152 552
150 491 -980
610 617 -160
725 512 247
829 733 -695
623 322 953
540 261 118
278 366 583
23 350 -345
423 851 524
576 395 707
419 947 -790
36 319 -180
900 159 545
985 406 -273
307 63 702
920 17 595
287 135 -127
989 70 248
840 725 671
588 601 599
887 661 18
207 871 -594
366 691 307
125 589 -356
188 668 -48
557 370 -776
44 317 511
114 190 -500
191 438 -307
145 110 281
806 709 -480
677 80 727
720 486 -554
661 145 923
681 790 -889
52 94 -979
369 318 -935
